Date,BTC,ETH,LTC
9/17/2014,0,0,0
9/18/2014,-7.192557612,,-7.379982639
9/19/2014,-6.984264497,,-7.6294987
9/20/2014,3.573491641,,-0.955003033
9/21/2014,-2.465854456,,-0.945299969
9/22/2014,0.835210177,,-0.084082598
9/23/2014,8.36474177,,11.88539364
9/24/2014,-2.888081427,,-1.680794745
9/25/2014,-2.748309181,,-3.260059714
9/26/2014,-1.736994371,,-1.795486591
9/27/2014,-1.212832774,,-0.265919902
9/28/2014,-5.591457202,,-4.264553285
9/29/2014,-0.454420902,,0.320318472
9/30/2014,3.056723861,,5.367350084
10/1/2014,-0.860333795,,-1.031799345
10/2/2014,-2.226972203,,-2.391292345
10/3/2014,-4.148536274,,-3.413178299
10/4/2014,-8.524332056,,-5.674564731
10/5/2014,-2.540848725,,-6.070284018
10/6/2014,2.985554244,,3.331314241
10/7/2014,1.85046656,,0.948623223
10/8/2014,4.983235555,,1.276622525
10/9/2014,3.424377661,,-0.185011422
10/10/2014,-0.948970564,,-2.3911354
10/11/2014,0.203837648,,-0.912172334
10/12/2014,4.485245473,,2.058762164
10/13/2014,3.134333983,,0.297372268
10/14/2014,2.678180998,,5.544856698
10/15/2014,-1.520938178,,-0.478181353
10/16/2014,-3.094692439,,-1.615459579
10/17/2014,0.314201267,,0.059633164
10/18/2014,2.002301082,,1.564882621
10/19/2014,-0.484361966,,-1.647531105
10/20/2014,-1.720204795,,-1.983231334
10/21/2014,0.948165678,,0.771899988
10/22/2014,-0.858274545,,-2.454059159
10/23/2014,-6.457126819,,-2.697404455
10/24/2014,-0.020085822,,0.210714184
10/25/2014,-3.090319403,,-2.134202991
10/26/2014,2.140407343,,1.625878736
10/27/2014,-0.48350068,,2.149885434
10/28/2014,1.311371635,,1.01804019
10/29/2014,-6.159367647,,-3.097190624
10/30/2014,2.894591691,,1.580652628
10/31/2014,-2.022553524,,-0.841555485
11/1/2014,-3.716003726,,-4.885720098
11/2/2014,0.043900489,,0.40637309
11/3/2014,0.509981009,,-0.196368975
11/4/2014,0.896957121,,0.382889285
11/5/2014,2.721393522,,1.478108147
11/6/2014,2.887900037,,0.129222299
11/7/2014,-1.96827846,,-2.52605872
11/8/2014,0.897448425,,-0.031198273
11/9/2014,5.145186131,,2.114576541
11/10/2014,1.007532682,,1.767061288
11/11/2014,0.210124188,,-0.534147212
11/12/2014,15.19356972,,10.68367729
11/13/2014,-0.667204764,,0.713999932
11/14/2014,-5.446894838,,-2.642726709
11/15/2014,-5.450984614,,-3.384996662
11/16/2014,3.123627291,,0.760183314
11/17/2014,-0.122201859,,-0.159388534
11/18/2014,-3.151713912,,-2.766774384
11/19/2014,1.427778061,,0.98935086
11/20/2014,-5.968912992,,-5.145424335
11/21/2014,-1.953947147,,-3.173712286
11/22/2014,0.590575277,,0.753805077
11/23/2014,4.151927928,,2.017154297
11/24/2014,2.53772803,,0.951210756
11/25/2014,-0.412046956,,-1.682488545
11/26/2014,-1.859073966,,-0.197337709
11/27/2014,0.352911018,,-0.01629208
11/28/2014,1.833250562,,1.235431609
11/29/2014,-0.253951744,,-0.48780459
11/30/2014,0.680708677,,-0.284138709
12/1/2014,0.316891288,,0.029361564
12/2/2014,0.545823235,,1.508463314
12/3/2014,-1.653486634,,-0.525458492
12/4/2014,-1.441563094,,-0.536821665
12/5/2014,1.961558837,,0.712575318
12/6/2014,-0.549019031,,-0.102537177
12/7/2014,0.082713422,,2.673657084
12/8/2014,-3.51537732,,-1.561776772
12/9/2014,-2.677469361,,-3.614092117
12/10/2014,-1.662035267,,-0.60519241
12/11/2014,1.195565925,,-0.536592685
12/12/2014,0.580868838,,0.161731902
12/13/2014,-1.465353125,,-0.305162884
12/14/2014,1.22518001,,0.126868248
12/15/2014,-1.787945211,,-0.853331764
12/16/2014,-5.294123105,,-12.62091309
12/17/2014,-2.227715369,,-2.488345565
12/18/2014,-2.620585933,,-4.579914187
12/19/2014,2.070351283,,2.264788352
12/20/2014,3.81100326,,1.898491935
12/21/2014,-2.761885456,,-2.503436736
12/22/2014,3.441870212,,1.241940701
12/23/2014,0.809315491,,-0.132726042
12/24/2014,-3.598028145,,-4.983414698
12/25/2014,-1.093218401,,-1.420199333
12/26/2014,2.794919163,,3.046541537
12/27/2014,-3.67798764,,-2.327360157
12/28/2014,0.435634142,,0.592213856
12/29/2014,-1.440239095,,-1.398448822
12/30/2014,-0.618228105,,0.341027722
12/31/2014,3.043085862,,0.551772957
1/1/2015,-1.856380504,,-0.73117204
1/2/2015,0.249171841,,-1.174112506
1/3/2015,-10.77668643,,-20.02729064
1/4/2015,-6.007852996,,-8.273174331
1/5/2015,3.890683554,,6.413923596
1/6/2015,4.268162537,,1.437910732
1/7/2015,2.847073204,,0.286921399
1/8/2015,-3.733137999,,-5.198332676
1/9/2015,2.491270668,,-1.230531809
1/10/2015,-5.375884984,,-16.64045299
1/11/2015,-3.324643238,,4.308909887
1/12/2015,0.804030065,,-0.598998056
1/13/2015,-15.65930752,,-10.0984054
1/14/2015,-21.1448622,,-24.92408638
1/15/2015,17.82170871,,10.86940333
1/16/2015,-0.832520372,,9.315771141
1/17/2015,-4.246580006,,-7.763128227
1/18/2015,5.560077439,,3.08642215
